TRADEDATE,AFLT,CHMF,GAZP,GMKN,HYDR,IMOEX,LKOH,MAGN,MGNT,MTSS,NLMK,POLY,ROSN,SBER,SBERP,SNGSP,TATN,VTBR,YNDX
2015-01-05,33.21,522.0,133.95,8590.0,0.5656,1435.66,2295.0,11.279,9877.0,174.7,66.285,507.5,196.75,56.37,38.59,29.6,238.0,0.0675,1079.0
2015-01-06,33.07,556.9,138.92,9101.0,0.5684,1480.73,2345.0,11.55,10400.0,179.9,66.7,545.5,200.3,58.28,39.5,30.195,228.75,0.06666,1092.0
2015-01-08,35.17,542.7,146.46,9550.0,0.5772,1547.39,2572.0,12.35,10627.0,190.05,67.41,530.0,214.95,65.7,43.75,31.6,245.0,0.06741,1094.0
2015-01-09,34.0,548.55,141.7,9740.0,0.5498,1515.37,2461.0,12.1,10542.0,195.0,67.9,541.0,206.6,63.1,42.9,32.01,234.05,0.06531,1098.0
2015-01-12,34.45,558.45,140.22,9839.0,0.5451,1513.22,2477.0,11.893,10689.0,193.0,70.12,550.0,204.0,62.9,42.41,31.36,228.25,0.06353,1113.0
2015-01-13,35.0,583.0,142.64,10025.0,0.5415,1533.09,2522.0,12.38,11180.0,204.5,72.505,562.0,204.9,60.31,40.82,32.3,234.7,0.0605,1153.0
2015-01-14,36.55,595.0,146.3,9600.0,0.552,1554.46,2588.0,12.546,11450.0,210.2,72.35,559.0,209.5,60.05,41.5,32.7,244.55,0.0601,1177.0
2015-01-15,36.65,577.0,147.0,9290.0,0.5495,1563.21,2618.9,12.28,11304.0,216.5,75.18,593.0,219.9,61.8,41.7,32.82,251.3,0.06273,1175.0
2015-01-16,36.05,587.9,149.6,9561.0,0.546,1591.43,2736.0,12.151,11350.0,215.8,75.7,588.5,226.0,61.99,42.03,34.25,260.0,0.06522,1165.0
2015-01-19,36.34,589.0,148.11,9417.0,0.5381,1576.4,2640.0,12.24,11235.0,215.0,75.43,586.5,225.3,61.8,42.09,34.9,261.0,0.06401,1165.0
2015-01-20,37.2,586.9,145.75,9470.0,0.5416,1570.97,2628.7,12.366,11395.0,214.15,76.85,596.5,227.0,60.8,42.24,36.4,257.0,0.0621,1122.0
2015-01-21,38.1,592.0,148.8,9675.0,0.56,1618.17,2752.0,12.405,11855.0,222.95,76.47,602.0,234.6,62.8,43.29,36.8,275.0,0.0635,1083.0
2015-01-22,39.55,599.5,151.5,10386.0,0.5687,1666.56,2820.0,12.8,12070.0,227.0,79.895,596.0,241.8,64.35,44.8,38.1,287.3,0.06362,1106.0
2015-01-23,40.15,587.0,152.83,10400.0,0.5609,1671.8,2849.0,12.899,11750.0,228.0,79.505,587.0,243.9,64.45,45.94,39.425,297.95,0.0638,1117.0
2015-01-26,38.26,616.15,148.0,10755.0,0.5432,1642.37,2864.9,12.81,11540.0,214.25,82.845,610.0,237.25,60.49,42.88,38.925,285.65,0.0626,1121.0
2015-01-27,38.0,632.5,150.9,11179.0,0.5451,1673.92,2925.1,13.3,11270.0,215.55,86.695,602.0,239.0,61.2,43.8,41.415,297.9,0.06364,1095.0
2015-01-28,38.11,630.85,147.7,11534.0,0.5359,1647.71,2865.2,13.048,10200.0,214.0,86.11,609.0,231.5,60.63,43.15,40.35,289.0,0.06718,1081.0
2015-01-29,37.3,634.2,145.0,11450.0,0.508,1639.65,2845.2,13.1,10550.0,219.55,89.155,619.5,226.55,60.5,43.39,40.75,280.1,0.0665,1075.0
2015-01-30,38.25,642.35,143.82,11610.0,0.5251,1647.69,2789.9,13.134,10590.0,217.85,91.995,638.0,229.35,61.5,43.84,41.6,270.15,0.06894,1075.0
2015-02-02,37.34,645.9,138.18,11280.0,0.511,1625.31,2750.1,13.16,10190.0,227.3,88.5,622.5,230.55,61.4,42.7,41.9,285.0,0.06696,998.0
2015-02-03,37.55,632.0,140.35,10990.0,0.5197,1654.36,2851.5,13.715,10400.0,233.05,88.5,600.0,238.35,62.0,43.23,42.85,294.0,0.0677,997.0
2015-02-04,37.09,656.0,142.6,10750.0,0.518,1656.02,2910.0,13.689,10340.0,232.0,89.305,614.0,239.0,61.04,42.51,41.895,301.0,0.06689,1050.0
2015-02-05,37.75,663.4,147.6,11100.0,0.5182,1696.06,2996.0,13.638,10235.0,235.5,88.495,606.5,251.0,62.41,43.5,42.61,319.35,0.06786,1090.0
2015-02-06,38.0,701.2,151.6,11394.0,0.5292,1755.45,3120.1,13.766,11075.0,240.8,91.045,619.0,261.0,64.31,44.7,43.67,335.5,0.06826,1084.0
2015-02-09,37.6,696.0,149.3,11352.0,0.5272,1748.55,3016.0,14.13,11440.0,240.6,89.83,614.0,257.0,65.57,45.6,43.7,324.0,0.068,1078.0
2015-02-10,37.83,688.0,149.31,11345.0,0.5291,1742.35,3000.0,14.216,11490.0,230.05,89.15,609.0,257.05,65.0,45.28,44.4,320.55,0.06821,1045.0
2015-02-11,38.0,695.0,150.55,11697.0,0.5275,1763.6,3069.1,14.5,11500.0,237.95,88.6,604.0,265.35,65.12,45.93,43.815,320.5,0.06905,1037.0
2015-02-12,39.39,713.0,157.7,12037.0,0.5385,1802.8,3120.0,14.12,11855.0,250.95,88.79,601.0,274.05,67.21,48.68,42.31,340.0,0.069,1071.0
2015-02-13,40.4,711.5,162.4,12106.0,0.61,1838.18,3135.0,14.01,12250.0,257.35,89.2,583.0,290.2,70.6,52.77,41.51,353.0,0.0694,1115.0
2015-02-16,40.41,685.0,160.19,11900.0,0.608,1800.59,3020.0,13.9,11920.0,252.3,85.5,582.0,279.7,70.0,52.7,41.295,335.0,0.06725,1070.0
2015-02-17,40.15,698.6,159.2,11375.0,0.5749,1793.82,3010.0,14.58,11820.0,252.0,85.555,576.0,275.95,72.45,53.0,41.455,338.6,0.06709,1030.0
2015-02-18,40.98,702.0,163.0,11140.0,0.6,1809.67,3000.0,14.529,11766.0,250.35,85.65,561.5,281.45,76.4,55.5,40.4,335.15,0.06684,1084.0
2015-02-19,39.93,706.0,160.9,11355.0,0.5925,1797.87,2994.8,14.4,11800.0,257.0,85.885,566.0,275.75,73.78,53.19,40.16,343.3,0.06696,1049.0
2015-02-20,40.0,704.9,158.0,11330.0,0.6285,1792.7,2990.0,14.52,11796.0,252.5,85.9,570.0,274.0,74.75,54.09,40.35,345.8,0.0666,1053.0
2015-02-24,39.6,698.1,154.99,11348.0,0.6002,1772.16,3001.0,14.471,11687.0,250.3,84.58,557.5,268.65,73.7,52.67,39.455,340.0,0.06451,1038.0
2015-02-25,38.99,689.0,150.7,11061.0,0.6025,1746.23,2933.4,14.228,11510.0,248.6,83.03,551.5,263.45,74.2,52.36,38.65,326.6,0.0667,1025.0
2015-02-26,39.5,684.0,151.65,11093.0,0.647,1760.66,2935.0,14.26,11574.0,253.5,81.695,533.5,263.85,75.95,54.45,39.66,327.55,0.0701,1009.0
2015-02-27,39.19,682.0,152.95,11182.0,0.6448,1758.97,2981.2,14.6,11305.0,249.0,81.1,541.5,265.85,75.91,53.7,38.69,316.0,0.068,1016.0
2015-03-02,39.5,707.6,155.5,11269.0,0.6458,1783.34,3027.2,14.93,11367.0,247.55,82.7,539.5,269.7,76.2,54.1,41.01,330.95,0.0681,1000.0
2015-03-03,39.89,738.45,159.0,11480.0,0.6427,1807.7,3009.5,15.9,11650.0,257.25,84.94,541.0,277.0,75.55,54.15,42.325,333.55,0.06951,1000.0
2015-03-04,38.55,730.0,154.0,11140.0,0.63,1759.35,2955.0,15.73,11100.0,252.0,81.75,518.5,264.95,72.31,52.91,41.3,319.0,0.068,996.0
2015-03-05,38.47,730.05,154.8,11180.0,0.6265,1760.55,2915.0,15.9,11360.0,247.5,82.15,516.0,269.6,72.7,53.5,42.45,313.4,0.0664,970.0
2015-03-06,38.96,721.0,152.12,10990.0,0.6236,1728.55,2800.0,15.98,11347.0,244.5,81.6,497.0,263.5,73.25,53.36,41.225,298.2,0.06472,932.0
2015-03-10,36.65,710.35,148.05,10425.0,0.585,1665.38,2699.0,15.05,10820.0,234.5,77.6,488.0,253.0,69.8,50.77,39.45,283.65,0.0626,885.0
2015-03-11,36.65,734.5,145.99,10588.0,0.5805,1671.47,2726.9,15.497,10835.0,234.0,80.005,473.5,251.45,70.68,50.45,40.0,285.9,0.06328,898.0
2015-03-12,38.45,710.0,144.7,10730.0,0.585,1664.7,2733.9,15.485,10600.0,232.35,77.93,491.5,247.7,70.79,49.95,40.5,284.85,0.0645,894.0
2015-03-13,37.18,708.1,141.8,10380.0,0.5669,1627.88,2659.0,15.555,10350.0,230.3,77.8,470.0,241.3,67.87,48.6,40.155,277.95,0.06332,880.0
2015-03-16,36.5,708.6,139.75,10298.0,0.5408,1609.85,2666.0,15.375,10350.0,222.7,76.875,477.0,236.7,65.57,46.91,39.8,272.0,0.0621,878.0
2015-03-17,35.01,692.8,139.7,10595.0,0.54,1611.69,2689.0,15.317,10360.0,220.4,77.0,470.0,237.0,64.65,46.27,39.875,271.45,0.061,889.0
2015-03-18,35.1,690.0,140.25,10692.0,0.5413,1632.12,2735.0,15.066,10699.0,227.3,77.435,464.0,243.4,65.26,47.0,40.21,281.45,0.0624,877.0
2015-03-19,35.0,680.75,136.81,10410.0,0.5441,1607.97,2689.8,14.455,10500.0,227.0,77.455,472.0,237.05,64.9,46.55,39.7,288.45,0.0623,874.0
2015-03-20,33.5,683.0,136.0,10501.0,0.5491,1628.64,2710.0,14.022,10900.0,238.95,78.015,484.0,239.3,67.0,47.51,42.6,294.25,0.0634,866.0
2015-03-23,34.0,674.5,134.61,10420.0,0.5235,1602.85,2679.9,14.388,10550.0,238.75,75.65,483.5,239.95,65.0,46.1,42.59,282.5,0.06172,874.0
2015-03-24,34.24,661.7,137.15,10330.0,0.5238,1618.62,2709.7,14.0,10798.0,246.0,75.98,476.0,244.0,65.6,45.71,42.605,281.0,0.063,866.0
2015-03-25,33.6,658.15,134.9,10500.0,0.515,1615.5,2697.3,13.7,11000.0,249.65,73.76,492.5,242.7,64.8,45.8,42.6,277.5,0.0628,885.0
2015-03-26,32.5,636.9,132.2,10310.0,0.51,1581.84,2623.0,13.299,11140.0,242.75,72.675,488.5,237.1,62.85,44.65,41.62,269.5,0.0606,880.0
